,London,Bristol,Liverpool,Manchester,Newcastle,Birmingham,Sheffield,start,end,birth_per_cap
507,761,98,264,76,13,237,103,1967-06-17,1967-07-01,0.0006613076923076922
508,747,68,240,62,10,219,85,1967-07-01,1967-07-15,0.0006613076923076922
509,479,74,240,67,13,150,97,1967-07-15,1967-07-29,0.0006613076923076922
510,481,48,156,59,14,109,118,1967-07-29,1967-08-12,0.0006613076923076922
511,295,30,111,47,5,38,66,1967-08-12,1967-08-26,0.0006613076923076922
512,153,11,69,18,12,25,34,1967-08-26,1967-09-09,0.0006613076923076922
513,119,22,40,19,5,21,19,1967-09-09,1967-09-23,0.0006613076923076922
514,132,12,38,9,0,20,26,1967-09-23,1967-10-07,0.0006613076923076922
515,139,15,25,13,4,35,20,1967-10-07,1967-10-21,0.0006613076923076922
516,154,10,31,8,4,43,23,1967-10-21,1967-11-04,0.0006613076923076922
517,102,9,29,5,2,41,41,1967-11-04,1967-11-18,0.0006613076923076922
518,95,20,35,10,2,33,50,1967-11-18,1967-12-02,0.0006613076923076922
519,91,26,28,15,2,21,46,1967-12-02,1967-12-16,0.0006613076923076922
520,53,16,47,12,2,28,71,1967-12-16,1967-12-30,0.0006613076923076922
521,82,26,51,27,1,62,89,1967-12-30,1968-01-13,0.0006613076923076922
522,70,19,32,25,8,37,44,1968-01-13,1968-01-27,0.0006506538461538462
523,90,27,47,13,12,58,56,1968-01-27,1968-02-10,0.0006506538461538462
524,108,27,67,4,40,74,94,1968-02-10,1968-02-24,0.0006506538461538462
525,121,20,83,10,65,64,124,1968-02-24,1968-03-09,0.0006506538461538462
526,208,24,99,18,126,117,94,1968-03-09,1968-03-23,0.0006506538461538462
527,256,18,105,12,130,127,157,1968-03-23,1968-04-06,0.0006506538461538462
528,239,8,84,29,127,84,208,1968-04-06,1968-04-20,0.0006506538461538462
529,322,16,92,51,169,224,319,1968-04-20,1968-05-04,0.0006506538461538462
530,317,25,104,35,123,166,280,1968-05-04,1968-05-18,0.0006506538461538462
531,513,51,241,40,183,200,614,1968-05-18,1968-06-01,0.0006506538461538462
532,593,25,333,49,229,388,752,1968-06-01,1968-06-15,0.0006506538461538462
533,642,33,384,91,228,562,809,1968-06-15,1968-06-29,0.0006506538461538462
534,713,23,492,153,207,678,655,1968-06-29,1968-07-13,0.0006506538461538462
535,800,32,588,219,148,862,530,1968-07-13,1968-07-27,0.0006506538461538462
536,954,47,479,268,83,852,326,1968-07-27,1968-08-10,0.0006506538461538462
537,748,53,301,201,41,473,228,1968-08-10,1968-08-24,0.0006506538461538462
538,459,44,185,111,26,279,97,1968-08-24,1968-09-07,0.0006506538461538462
539,343,35,122,72,14,128,62,1968-09-07,1968-09-21,0.0006506538461538462
540,355,34,122,140,4,108,40,1968-09-21,1968-10-05,0.0006506538461538462
541,569,55,105,227,9,181,34,1968-10-05,1968-10-19,0.0006506538461538462
542,853,61,97,223,8,200,30,1968-10-19,1968-11-02,0.0006506538461538462
543,1100,106,73,206,9,230,15,1968-11-02,1968-11-16,0.0006506538461538462
544,1113,50,54,188,2,148,10,1968-11-16,1968-11-30,0.0006506538461538462
545,1577,40,49,157,3,157,14,1968-11-30,1968-12-14,0.0006506538461538462
546,1356,34,23,160,6,96,7,1968-12-14,1968-12-28,0.0006506538461538462
547,2663,106,39,237,1,147,49,1968-12-28,1969-01-11,0.0006506538461538462
548,1798,93,22,114,8,120,43,1969-01-11,1969-01-25,0.0006246153846153845
549,1963,104,27,118,1,142,28,1969-01-25,1969-02-08,0.0006246153846153845
550,2385,87,17,72,4,167,16,1969-02-08,1969-02-22,0.0006246153846153845
551,2403,113,14,86,1,131,22,1969-02-22,1969-03-08,0.0006246153846153845
552,2354,110,19,103,2,112,19,1969-03-08,1969-03-22,0.0006246153846153845
553,2068,136,28,113,1,124,13,1969-03-22,1969-04-05,0.0006246153846153845
554,2159,71,24,104,0,118,7,1969-04-05,1969-04-19,0.0006246153846153845
555,1830,39,20,104,3,89,13,1969-04-19,1969-05-03,0.0006246153846153845
556,1665,54,17,104,1,82,11,1969-05-03,1969-05-17,0.0006246153846153845
557,1688,64,11,134,3,89,15,1969-05-17,1969-05-31,0.0006246153846153845
558,1671,75,11,143,10,89,16,1969-05-31,1969-06-14,0.0006246153846153845
559,1335,43,11,127,1,79,13,1969-06-14,1969-06-28,0.0006246153846153845
560,1232,44,32,146,9,114,8,1969-06-28,1969-07-12,0.0006246153846153845
561,1009,50,50,159,3,116,26,1969-07-12,1969-07-26,0.0006246153846153845
562,793,82,73,142,3,93,7,1969-07-26,1969-08-09,0.0006246153846153845
563,489,45,31,77,6,53,6,1969-08-09,1969-08-23,0.0006246153846153845
564,240,15,28,48,9,33,7,1969-08-23,1969-09-06,0.0006246153846153845
565,205,22,5,33,4,16,4,1969-09-06,1969-09-20,0.0006246153846153845
566,190,11,48,35,4,23,22,1969-09-20,1969-10-04,0.0006246153846153845
567,194,15,49,58,7,29,58,1969-10-04,1969-10-18,0.0006246153846153845
568,223,12,55,68,13,33,45,1969-10-18,1969-11-01,0.0006246153846153845
569,230,15,60,53,4,28,42,1969-11-01,1969-11-15,0.0006246153846153845
570,184,11,104,28,4,36,90,1969-11-15,1969-11-29,0.0006246153846153845
571,200,27,107,52,5,46,81,1969-11-29,1969-12-13,0.0006246153846153845
572,212,15,138,51,3,24,77,1969-12-13,1969-12-27,0.0006246153846153845
573,345,14,217,77,18,32,125,1969-12-27,1970-01-10,0.0006246153846153845
574,293,15,157,39,11,36,63,1970-01-10,1970-01-24,0.0005985769230769231
575,458,25,294,33,19,40,122,1970-01-24,1970-02-07,0.0005985769230769231
576,591,44,420,92,34,51,169,1970-02-07,1970-02-21,0.0005985769230769231
577,672,63,569,122,28,70,257,1970-02-21,1970-03-07,0.0005985769230769231
578,589,51,603,145,43,109,278,1970-03-07,1970-03-21,0.0005985769230769231
579,670,43,662,118,77,58,330,1970-03-21,1970-04-04,0.0005985769230769231
580,793,50,585,145,108,104,420,1970-04-04,1970-04-18,0.0005985769230769231
581,588,80,467,161,91,105,288,1970-04-18,1970-05-02,0.0005985769230769231
582,674,73,414,202,283,191,434,1970-05-02,1970-05-16,0.0005985769230769231
583,1035,69,413,290,365,224,595,1970-05-16,1970-05-30,0.0005985769230769231
584,1377,69,390,246,344,387,556,1970-05-30,1970-06-13,0.0005985769230769231
585,1321,86,416,202,270,457,368,1970-06-13,1970-06-27,0.0005985769230769231
586,1510,123,321,226,292,520,332,1970-06-27,1970-07-11,0.0005985769230769231
587,1881,130,281,215,174,721,333,1970-07-11,1970-07-25,0.0005985769230769231
588,1879,104,213,153,105,849,223,1970-07-25,1970-08-08,0.0005985769230769231
589,1679,77,127,116,22,631,157,1970-08-08,1970-08-22,0.0005985769230769231
590,909,59,101,67,20,260,80,1970-08-22,1970-09-05,0.0005985769230769231
591,718,23,62,47,14,207,47,1970-09-05,1970-09-19,0.0005985769230769231
592,691,22,48,53,9,211,28,1970-09-19,1970-10-03,0.0005985769230769231
593,1025,32,47,41,17,175,22,1970-10-03,1970-10-17,0.0005985769230769231
594,1292,24,59,46,16,261,14,1970-10-17,1970-10-31,0.0005985769230769231
595,1445,23,76,13,14,307,15,1970-10-31,1970-11-14,0.0005985769230769231
596,1440,19,88,34,14,244,4,1970-11-14,1970-11-28,0.0005985769230769231
597,1911,22,60,46,19,276,9,1970-11-28,1970-12-12,0.0005985769230769231
598,1878,21,63,40,16,185,4,1970-12-12,1970-12-26,0.0005985769230769231
599,2293,45,76,45,4,330,2,1970-12-26,1971-01-09,0.0005985769230769231
600,1292,16,42,35,3,227,2,1971-01-09,1971-01-23,0.0005725769230769232
601,565,35,6,1,3,75,2,1971-01-23,1971-02-06,0.0005725769230769232
602,1206,55,6,5,3,101,3,1971-02-06,1971-02-20,0.0005725769230769232
603,1467,63,2,5,14,192,4,1971-02-20,1971-03-06,0.0005725769230769232
604,2653,61,77,10,18,707,5,1971-03-06,1971-03-20,0.0005725769230769232
605,1938,73,28,31,13,285,10,1971-03-20,1971-04-03,0.0005725769230769232
606,1262,51,22,26,16,175,5,1971-04-03,1971-04-17,0.0005725769230769232
607,1455,71,39,37,14,128,16,1971-04-17,1971-05-01,0.0005725769230769232
608,790,33,35,33,3,160,8,1971-05-01,1971-05-15,0.0005725769230769232
609,795,54,22,35,6,166,10,1971-05-15,1971-05-29,0.0005725769230769232
610,683,48,23,71,5,129,9,1971-05-29,1971-06-12,0.0005725769230769232
611,761,68,10,110,6,108,8,1971-06-12,1971-06-26,0.0005725769230769232
612,763,56,30,89,2,124,12,1971-06-26,1971-07-10,0.0005725769230769232
613,598,63,15,73,5,95,24,1971-07-10,1971-07-24,0.0005725769230769232
614,513,61,21,55,5,53,22,1971-07-24,1971-08-07,0.0005725769230769232
615,314,41,23,37,3,46,14,1971-08-07,1971-08-21,0.0005725769230769232
616,189,16,14,30,1,16,6,1971-08-21,1971-09-04,0.0005725769230769232
617,151,12,10,37,3,21,6,1971-09-04,1971-09-18,0.0005725769230769232
618,88,13,10,17,0,19,1,1971-09-18,1971-10-02,0.0005725769230769232
619,82,10,6,63,0,26,3,1971-10-02,1971-10-16,0.0005725769230769232
620,127,13,13,54,0,21,8,1971-10-16,1971-10-30,0.0005725769230769232
621,161,10,4,105,4,22,30,1971-10-30,1971-11-13,0.0005725769230769232
622,158,9,13,96,0,25,41,1971-11-13,1971-11-27,0.0005725769230769232
623,219,10,19,77,0,18,29,1971-11-27,1971-12-11,0.0005725769230769232
624,261,9,20,60,0,26,29,1971-12-11,1971-12-25,0.0005725769230769232
625,272,55,10,81,0,32,39,1971-12-25,1972-01-08,0.0005725769230769232
626,195,45,24,54,0,53,37,1972-01-08,1972-01-22,0.0005465384615384616
627,185,36,23,76,10,37,49,1972-01-22,1972-02-05,0.0005465384615384616
628,246,31,27,83,7,31,84,1972-02-05,1972-02-19,0.0005465384615384616
629,343,39,36,100,8,78,112,1972-02-19,1972-03-04,0.0005465384615384616
630,407,113,84,166,2,100,161,1972-03-04,1972-03-18,0.0005465384615384616
631,395,113,104,191,11,91,191,1972-03-18,1972-04-01,0.0005465384615384616
632,386,117,120,160,23,84,229,1972-04-01,1972-04-15,0.0005465384615384616
633,343,64,73,155,14,62,231,1972-04-15,1972-04-29,0.0005465384615384616
634,337,93,84,207,15,68,180,1972-04-29,1972-05-13,0.0005465384615384616
635,376,94,127,243,17,64,238,1972-05-13,1972-05-27,0.0005465384615384616
636,458,99,178,188,33,83,208,1972-05-27,1972-06-10,0.0005465384615384616
637,520,77,190,136,46,118,148,1972-06-10,1972-06-24,0.0005465384615384616
638,583,72,181,113,34,159,217,1972-06-24,1972-07-08,0.0005465384615384616
639,769,104,212,113,68,210,234,1972-07-08,1972-07-22,0.0005465384615384616
640,737,56,249,146,41,109,245,1972-07-22,1972-08-05,0.0005465384615384616
641,605,77,246,77,29,169,177,1972-08-05,1972-08-19,0.0005465384615384616
642,268,26,160,44,16,59,74,1972-08-19,1972-09-02,0.0005465384615384616
643,240,14,80,49,9,57,38,1972-09-02,1972-09-16,0.0005465384615384616
644,184,3,101,12,10,66,13,1972-09-16,1972-09-30,0.0005465384615384616
645,313,25,166,32,15,78,11,1972-09-30,1972-10-14,0.0005465384615384616
646,470,19,262,43,22,129,9,1972-10-14,1972-10-28,0.0005465384615384616
647,613,18,303,27,13,152,6,1972-10-28,1972-11-11,0.0005465384615384616
648,598,12,286,24,9,154,8,1972-11-11,1972-11-25,0.0005465384615384616
649,663,7,297,19,19,164,15,1972-11-25,1972-12-09,0.0005465384615384616
650,722,9,278,12,17,186,19,1972-12-09,1972-12-23,0.0005465384615384616
651,898,20,305,62,88,191,7,1972-12-23,1973-01-06,0.0005465384615384616
652,961,4,222,21,57,163,19,1973-01-06,1973-01-20,0.0005205
653,832,14,143,15,38,144,48,1973-01-20,1973-02-03,0.0005205
654,1204,11,152,16,87,193,43,1973-02-03,1973-02-17,0.0005205
655,1530,19,165,17,84,230,46,1973-02-17,1973-03-03,0.0005205
656,1721,22,174,19,67,233,33,1973-03-03,1973-03-17,0.0005205
657,2018,22,137,16,56,166,50,1973-03-17,1973-03-31,0.0005205
658,1952,12,116,5,82,151,31,1973-03-31,1973-04-14,0.0005205
659,1758,24,86,5,39,104,22,1973-04-14,1973-04-28,0.0005205
660,1483,19,88,6,35,106,38,1973-04-28,1973-05-12,0.0005205
661,1189,12,110,9,24,75,30,1973-05-12,1973-05-26,0.0005205
662,1265,10,83,7,15,78,12,1973-05-26,1973-06-09,0.0005205
663,1112,23,60,3,36,86,18,1973-06-09,1973-06-23,0.0005205
664,1086,20,58,5,27,95,9,1973-06-23,1973-07-07,0.0005205
665,926,11,47,9,50,126,25,1973-07-07,1973-07-21,0.0005205
666,828,9,51,18,42,88,28,1973-07-21,1973-08-04,0.0005205
667,756,7,54,18,38,63,36,1973-08-04,1973-08-18,0.0005205
668,366,5,34,10,4,41,21,1973-08-18,1973-09-01,0.0005205
669,219,4,11,8,2,28,10,1973-09-01,1973-09-15,0.0005205
670,155,2,22,12,0,21,7,1973-09-15,1973-09-29,0.0005205
671,204,4,12,27,1,30,6,1973-09-29,1973-10-13,0.0005205
672,211,16,7,32,2,40,17,1973-10-13,1973-10-27,0.0005205
673,208,10,23,29,3,33,28,1973-10-27,1973-11-10,0.0005205
674,287,18,20,30,0,20,50,1973-11-10,1973-11-24,0.0005205
675,235,28,8,19,0,40,19,1973-11-24,1973-12-08,0.0005205
676,267,30,13,10,2,30,7,1973-12-08,1973-12-22,0.0005205
677,211,29,25,17,0,36,12,1973-12-22,1974-01-05,0.0005205
678,269,45,36,35,1,48,19,1974-01-05,1974-01-19,0.0005085769230769231
679,235,13,16,35,0,57,21,1974-01-19,1974-02-02,0.0005085769230769231
680,352,26,13,62,1,72,27,1974-02-02,1974-02-16,0.0005085769230769231
681,463,15,13,76,0,100,41,1974-02-16,1974-03-02,0.0005085769230769231
682,460,19,0,90,1,94,47,1974-03-02,1974-03-16,0.0005085769230769231
683,578,21,16,148,0,115,69,1974-03-16,1974-03-30,0.0005085769230769231
684,507,18,42,130,22,129,105,1974-03-30,1974-04-13,0.0005085769230769231
685,499,30,19,153,11,202,101,1974-04-13,1974-04-27,0.0005085769230769231
686,425,44,29,167,12,125,55,1974-04-27,1974-05-11,0.0005085769230769231
687,397,25,14,195,4,211,44,1974-05-11,1974-05-25,0.0005085769230769231
688,416,20,21,237,5,173,78,1974-05-25,1974-06-08,0.0005085769230769231
689,417,18,12,232,4,261,68,1974-06-08,1974-06-22,0.0005085769230769231
690,459,17,58,208,3,178,73,1974-06-22,1974-07-06,0.0005085769230769231
691,454,17,55,200,1,244,105,1974-07-06,1974-07-20,0.0005085769230769231
692,442,12,82,212,6,224,232,1974-07-20,1974-08-03,0.0005085769230769231
693,298,15,94,158,15,138,203,1974-08-03,1974-08-17,0.0005085769230769231
694,151,9,65,86,16,58,123,1974-08-17,1974-08-31,0.0005085769230769231
695,114,7,61,35,2,37,56,1974-08-31,1974-09-14,0.0005085769230769231
696,124,3,56,22,3,28,62,1974-09-14,1974-09-28,0.0005085769230769231
697,182,9,132,10,2,22,56,1974-09-28,1974-10-12,0.0005085769230769231
698,237,5,216,18,5,39,126,1974-10-12,1974-10-26,0.0005085769230769231
699,325,7,278,17,7,39,103,1974-10-26,1974-11-09,0.0005085769230769231
700,271,7,316,14,14,27,58,1974-11-09,1974-11-23,0.0005085769230769231
701,302,5,325,9,11,33,73,1974-11-23,1974-12-07,0.0005085769230769231
702,329,6,337,6,23,29,92,1974-12-07,1974-12-21,0.0005085769230769231
703,371,3,325,7,21,30,125,1974-12-21,1975-01-04,0.0005085769230769231
704,580,11,408,13,45,26,145,1975-01-04,1975-01-18,0.0004966538461538462
705,514,3,130,9,35,36,57,1975-01-18,1975-02-01,0.0004966538461538462
706,621,7,199,18,35,59,56,1975-02-01,1975-02-15,0.0004966538461538462
707,894,14,210,20,50,84,104,1975-02-15,1975-03-01,0.0004966538461538462
708,796,30,250,21,73,88,121,1975-03-01,1975-03-15,0.0004966538461538462
709,1051,30,147,15,56,148,94,1975-03-15,1975-03-29,0.0004966538461538462
710,964,26,147,24,67,193,106,1975-03-29,1975-04-12,0.0004966538461538462
711,884,23,98,50,60,145,98,1975-04-12,1975-04-26,0.0004966538461538462
712,782,20,148,33,43,135,82,1975-04-26,1975-05-10,0.0004966538461538462
713,1090,14,89,31,87,187,118,1975-05-10,1975-05-24,0.0004966538461538462
714,1371,12,116,56,53,209,110,1975-05-24,1975-06-07,0.0004966538461538462
715,1156,11,135,25,40,229,73,1975-06-07,1975-06-21,0.0004966538461538462
716,1079,9,93,51,62,168,89,1975-06-21,1975-07-05,0.0004966538461538462
717,1066,15,84,32,36,195,119,1975-07-05,1975-07-19,0.0004966538461538462
718,914,19,52,37,38,240,154,1975-07-19,1975-08-02,0.0004966538461538462
719,686,17,34,17,42,205,133,1975-08-02,1975-08-16,0.0004966538461538462
720,312,6,20,3,16,86,50,1975-08-16,1975-08-30,0.0004966538461538462
721,216,12,21,8,33,55,23,1975-08-30,1975-09-13,0.0004966538461538462
722,150,3,7,3,4,34,20,1975-09-13,1975-09-27,0.0004966538461538462
723,189,0,6,4,10,54,10,1975-09-27,1975-10-11,0.0004966538461538462
724,207,2,10,6,2,84,1,1975-10-11,1975-10-25,0.0004966538461538462
725,242,4,13,7,3,142,7,1975-10-25,1975-11-08,0.0004966538461538462
726,211,2,19,7,6,122,7,1975-11-08,1975-11-22,0.0004966538461538462
727,168,3,17,6,2,135,8,1975-11-22,1975-12-06,0.0004966538461538462
728,182,10,8,8,0,130,3,1975-12-06,1975-12-20,0.0004966538461538462
729,139,1,10,11,1,185,5,1975-12-20,1976-01-03,0.0004966538461538462
730,240,9,22,14,7,236,1,1976-01-03,1976-01-17,0.0004847307692307692
731,164,9,15,6,9,176,6,1976-01-17,1976-01-31,0.0004847307692307692
732,189,11,22,7,4,169,2,1976-01-31,1976-02-14,0.0004847307692307692
733,234,34,20,3,4,227,7,1976-02-14,1976-02-28,0.0004847307692307692
734,220,35,19,3,5,177,4,1976-02-28,1976-03-13,0.0004847307692307692
735,252,17,24,6,7,181,6,1976-03-13,1976-03-27,0.0004847307692307692
736,292,30,31,2,6,177,10,1976-03-27,1976-04-10,0.0004847307692307692
737,340,34,25,3,13,160,1,1976-04-10,1976-04-24,0.0004847307692307692
738,367,41,20,8,10,179,12,1976-04-24,1976-05-08,0.0004847307692307692
739,405,34,26,12,7,125,11,1976-05-08,1976-05-22,0.0004847307692307692
740,427,31,17,14,8,135,13,1976-05-22,1976-06-05,0.0004847307692307692
741,392,39,18,14,5,121,6,1976-06-05,1976-06-19,0.0004847307692307692
742,298,21,16,12,6,62,6,1976-06-19,1976-07-03,0.0004847307692307692
743,290,32,19,11,5,69,3,1976-07-03,1976-07-17,0.0004847307692307692
744,174,22,21,26,20,81,3,1976-07-17,1976-07-31,0.0004847307692307692
745,156,18,25,18,13,65,36,1976-07-31,1976-08-14,0.0004847307692307692
746,92,20,11,45,10,28,36,1976-08-14,1976-08-28,0.0004847307692307692
747,52,11,20,8,3,11,18,1976-08-28,1976-09-11,0.0004847307692307692
748,48,5,14,10,4,4,8,1976-09-11,1976-09-25,0.0004847307692307692
749,97,16,48,26,12,13,5,1976-09-25,1976-10-09,0.0004847307692307692
750,91,30,71,17,14,11,9,1976-10-09,1976-10-23,0.0004847307692307692
751,98,20,57,21,12,8,8,1976-10-23,1976-11-06,0.0004847307692307692
752,77,11,60,23,8,7,10,1976-11-06,1976-11-20,0.0004847307692307692
753,94,31,74,26,14,19,10,1976-11-20,1976-12-04,0.0004847307692307692
754,159,32,119,46,16,25,13,1976-12-04,1976-12-18,0.0004847307692307692
755,192,23,95,91,18,16,5,1976-12-18,1977-01-01,0.0004847307692307692
756,218,24,174,115,19,27,2,1977-01-01,1977-01-15,0.0004728076923076923
757,185,32,146,91,19,9,3,1977-01-15,1977-01-29,0.0004728076923076923
758,264,38,207,112,24,23,3,1977-01-29,1977-02-12,0.0004728076923076923
759,341,58,286,138,26,20,19,1977-02-12,1977-02-26,0.0004728076923076923
760,472,60,339,128,38,23,17,1977-02-26,1977-03-12,0.0004728076923076923
761,558,67,268,168,56,30,14,1977-03-12,1977-03-26,0.0004728076923076923
762,582,83,242,83,42,43,7,1977-03-26,1977-04-09,0.0004728076923076923
763,853,65,210,109,35,73,14,1977-04-09,1977-04-23,0.0004728076923076923
764,768,49,202,150,31,61,13,1977-04-23,1977-05-07,0.0004728076923076923
765,903,56,137,147,29,89,10,1977-05-07,1977-05-21,0.0004728076923076923
766,1033,49,144,124,18,157,20,1977-05-21,1977-06-04,0.0004728076923076923
767,918,69,92,90,55,166,30,1977-06-04,1977-06-18,0.0004728076923076923
768,1189,77,178,103,53,210,43,1977-06-18,1977-07-02,0.0004728076923076923
769,1598,77,131,94,42,223,153,1977-07-02,1977-07-16,0.0004728076923076923
770,1437,41,114,64,27,243,251,1977-07-16,1977-07-30,0.0004728076923076923
771,1408,48,112,80,30,314,348,1977-07-30,1977-08-13,0.0004728076923076923
