,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,3775.0,0.0,7.0,0.0,4929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,0.0,0.0,0.0,0.0,0.0,41358.0,0.0,158.0,0.0,53981.0,0.0,0.0,61.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,23.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,10.0,0.0,0.0,0.0
5,88.0,3.0,69.0,0.0,24.0,54560.0,20.0,2106.0,55.0,40703.0,33.0,18.0,758.0,3.0,737.0,0.0,69.0,7.0,98.0,6.0,0.0,3647.0,49.0,420.0,5.0,9.0,36.0,72.0,126.0,165.0,86.0,22.0,12.0,666.0,10.0,25.0,47.0,38.0,67.0,12.0,119.0,0.0,63.0,13.0,6.0,506.0,189.0,54.0,0.0,32.0
6,1198.0,70.0,1025.0,7.0,425.0,1.0,461.0,23958.0,821.0,4.0,413.0,235.0,9591.0,60.0,9269.0,1.0,900.0,107.0,1156.0,60.0,40.0,41318.0,718.0,5152.0,40.0,111.0,543.0,1163.0,1574.0,2039.0,1079.0,254.0,212.0,8441.0,151.0,385.0,772.0,644.0,875.0,214.0,1498.0,27.0,741.0,398.0,115.0,6463.0,2123.0,1049.0,19.0,427.0
7,14023.0,908.0,12254.0,309.0,5161.0,1.0,6073.0,73771.0,10140.0,4.0,5682.0,3105.0,89590.0,753.0,89942.0,159.0,10882.0,1422.0,13642.0,1105.0,582.0,54746.0,8477.0,56702.0,509.0,1741.0,6878.0,13870.0,18428.0,23620.0,13332.0,3374.0,2803.0,86785.0,1739.0,4469.0,9532.0,8079.0,10808.0,2665.0,17950.0,499.0,9226.0,5006.0,1243.0,68519.0,24879.0,12056.0,334.0,5513.0
8,84691.0,11503.0,86652.0,5054.0,56862.0,1.0,66432.0,0.0,88984.0,4.0,60060.0,35620.0,0.0,9701.0,0.0,2067.0,88149.0,18147.0,85104.0,13393.0,7528.0,0.0,89310.0,37700.0,6509.0,20615.0,73907.0,84895.0,79867.0,74175.0,85503.0,38265.0,32562.0,4055.0,20805.0,49349.0,89649.0,85751.0,88246.0,31475.0,80433.0,6600.0,89968.0,54653.0,14355.0,24491.0,72799.0,86841.0,4711.0,61929.0
9,0.0,87516.0,0.0,56989.0,37528.0,1.0,27014.0,0.0,0.0,4.0,33812.0,61022.0,0.0,89483.0,0.0,23570.0,0.0,80317.0,0.0,85436.0,81337.0,0.0,1446.0,0.0,69781.0,77524.0,18636.0,0.0,0.0,0.0,0.0,58085.0,64411.0,0.0,77295.0,45772.0,0.0,5488.0,0.0,65634.0,0.0,72117.0,0.0,39930.0,84281.0,0.0,0.0,0.0,52823.0,32099.0
10,0.0,0.0,0.0,37641.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,74203.0,0.0,0.0,0.0,0.0,10513.0,0.0,0.0,0.0,23156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20757.0,0.0,0.0,0.0,0.0,0.0,0.0,42112.0,0.0
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
